postcode,totalprops,last14,average,median,avgtom
G32,41,6,£542 pcm,£495 pcm,155 days
G33,21,7,£607 pcm,£625 pcm,147 days
G34,4,1,£473 pcm,£485 pcm,196 days
G40,16,4,£537 pcm,£538 pcm,146 days
G41,63,19,£846 pcm,£650 pcm,160 days
G42,67,24,£605 pcm,£495 pcm,176 days
G43,19,6,£806 pcm,£625 pcm,148 days
G44,33,9,£565 pcm,£535 pcm,126 days
G45,11,2,£491 pcm,£475 pcm,216 days
G46,11,2,£896 pcm,£700 pcm,213 days
G51,31,11,£665 pcm,£598 pcm,113 days
G52,22,7,£553 pcm,£550 pcm,159 days
GL1,142,29,£612 pcm,£490 pcm,162 days
GL2,63,16,£735 pcm,£628 pcm,130 days
GL3,21,11,£747 pcm,£715 pcm,74 days
GL4,25,8,£808 pcm,£675 pcm,129 days
GL5,23,5,£807 pcm,£676 pcm,133 days
GL6,28,5,"£1,321 pcm",£826 pcm,186 days
GL7,134,29,"£1,320 pcm",£986 pcm,121 days
GL8,21,2,"£1,638 pcm",£875 pcm,156 days
GL9,5,0,"£1,011 pcm",£750 pcm,141 days
GL10,14,4,"£1,109 pcm",£860 pcm,94 days
GL11,17,3,"£1,010 pcm",£725 pcm,38 days
GL12,19,3,"£1,034 pcm",£795 pcm,106 days
GL13,5,1,£991 pcm,£833 pcm,315 days
GL14,11,2,£638 pcm,£595 pcm,91 days
GU1,245,27,"£1,553 pcm","£1,300 pcm",148 days
GU2,93,9,"£1,712 pcm","£1,395 pcm",171 days
GU3,21,1,"£3,136 pcm","£2,496 pcm",86 days
GU4,57,8,"£1,530 pcm","£1,300 pcm",121 days
GU5,33,4,"£3,713 pcm","£1,798 pcm",230 days
GU6,34,5,"£2,150 pcm","£1,772 pcm",130 days
GU7,96,25,"£1,282 pcm","£1,173 pcm",119 days
GU8,42,12,"£2,960 pcm","£2,225 pcm",82 days
GU9,49,11,"£1,271 pcm","£1,248 pcm",217 days
GU10,42,9,"£2,363 pcm","£1,863 pcm",151 days
GU11,38,12,£942 pcm,£898 pcm,135 days
GU12,41,13,"£1,025 pcm",£949 pcm,119 days
GU14,124,23,"£1,084 pcm",£996 pcm,154 days
GU15,118,22,"£1,464 pcm","£1,101 pcm",166 days
GU16,34,10,"£1,112 pcm",£999 pcm,88 days
GU17,17,4,"£1,240 pcm","£1,248 pcm",89 days
GU18,22,1,"£1,151 pcm",£973 pcm,146 days
GU19,14,0,"£1,151 pcm",£951 pcm,215 days
GU20,31,3,"£5,174 pcm","£2,850 pcm",139 days
GU21,216,33,"£1,290 pcm","£1,148 pcm",193 days
HA0,318,72,"£1,470 pcm","£1,400 pcm",123 days
HA1,530,91,"£1,456 pcm","£1,352 pcm",166 days
HA2,320,65,"£1,342 pcm","£1,300 pcm",146 days
HA3,566,94,"£1,413 pcm","£1,300 pcm",175 days
HA4,175,26,"£1,435 pcm","£1,352 pcm",158 days
HD1,322,13,£696 pcm,£550 pcm,167 days
HD2,65,9,£744 pcm,£498 pcm,143 days
HD3,83,16,£569 pcm,£524 pcm,163 days
HD4,140,17,£635 pcm,£505 pcm,153 days
HD5,91,15,£619 pcm,£498 pcm,156 days
HG1,146,25,£827 pcm,£701 pcm,177 days
HG2,96,16,£864 pcm,£750 pcm,187 days
HG3,59,13,"£1,133 pcm",£875 pcm,160 days
HP1,83,10,"£1,146 pcm","£1,096 pcm",150 days
HP2,104,18,"£1,034 pcm",£949 pcm,163 days
HP3,77,11,"£1,355 pcm","£1,127 pcm",171 days
HP4,62,15,"£1,560 pcm","£1,250 pcm",201 days
HP5,62,12,"£1,261 pcm","£1,148 pcm",192 days
HP6,39,7,"£1,606 pcm","£1,300 pcm",198 days
HP7,28,5,"£1,849 pcm","£1,525 pcm",113 days
HP8,17,2,"£2,433 pcm","£2,002 pcm",126 days
HP9,80,12,"£3,098 pcm","£2,350 pcm",218 days
HP10,28,6,"£1,570 pcm","£1,374 pcm",169 days
HP11,120,20,"£1,096 pcm",£950 pcm,148 days
HP12,70,18,"£1,039 pcm","£1,101 pcm",131 days
HR1,58,15,£737 pcm,£594 pcm,126 days
HR2,40,7,£665 pcm,£627 pcm,156 days
HR3,10,0,£657 pcm,£598 pcm,114 days
HR4,42,6,£628 pcm,£573 pcm,202 days
HR5,13,3,£514 pcm,£420 pcm,126 days
HS1,0,0,-,-,-
HS2,0,0,-,-,-
HS3,0,0,-,-,-
HS4,0,0,-,-,-
HS5,0,0,-,-,-
HU1,61,8,£647 pcm,£485 pcm,203 days
HU2,35,9,£485 pcm,£494 pcm,195 days
HU3,139,16,£418 pcm,£375 pcm,154 days
HU4,40,9,£473 pcm,£413 pcm,141 days
HU5,175,29,£461 pcm,£450 pcm,169 days
HU6,40,6,£471 pcm,£438 pcm,187 days
HU7,58,7,£544 pcm,£505 pcm,153 days
HU8,68,17,£409 pcm,£416 pcm,151 days
HU9,93,24,£459 pcm,£425 pcm,123 days
HU10,23,7,£572 pcm,£525 pcm,104 days
HX1,100,22,£539 pcm,£440 pcm,127 days
HX2,38,9,£471 pcm,£450 pcm,148 days
HX3,87,16,£549 pcm,£459 pcm,128 days
HX4,19,3,£507 pcm,£450 pcm,136 days
