postcode,totalprops,last14,average,median,avgtom
RM6,196,34,1227,1200,142
RM7,81,25,1169,1096,120
RM8,168,25,1336,1326,144
RM9,86,10,1256,1300,175
RM10,151,20,1274,1250,194
S1,217,23,730,650,232
S2,352,31,781,575,194
S3,390,52,658,607,142
S4,27,4,506,494,179
S5,67,14,498,511,171
S6,155,32,804,598,165
S7,80,10,670,550,213
S8,57,10,565,550,171
S9,28,3,651,510,163
S10,189,25,932,700,189
S11,168,22,843,750,186
S12,26,4,573,576,252
S13,20,3,505,507,190
S14,7,2,592,485,118
S17,14,3,792,672,102
S18,22,8,649,650,169
S20,28,8,544,550,127
S21,30,7,547,495,147
S25,34,5,487,486,254
S26,12,2,498,464,184
S32,11,0,817,795,158
S33,4,0,855,885,68
S35,52,7,620,585,134
S36,32,6,501,513,198
S40,77,13,574,500,139
S41,66,16,529,494,128
SA1,391,51,815,625,180
SA2,113,25,762,576,237
SA3,39,11,1042,849,137
SA4,36,9,524,522,125
SA5,37,3,516,498,154
SA6,52,10,513,494,114
SA7,10,2,589,560,87
SA8,9,1,489,550,389
SA9,11,2,449,451,157
SA10,17,4,543,550,140
SA11,33,13,497,477,70
SA12,19,4,463,451,51
SA13,25,6,519,524,135
SA14,26,9,541,494,134
SA15,58,12,529,494,177
SA16,9,3,506,494,50
SA17,14,2,548,496,86
SA18,38,6,511,495,169
SA19,22,3,459,438,136
SA20,4,1,424,450,189
SA31,54,12,491,451,118
SA32,10,2,576,588,93
SA33,22,5,518,495,74
SA34,5,1,484,524,183
SA35,0,0,,,
SA36,0,0,,,
SE1,,239,2725,2149,160
SE2,76,22,1151,1300,77
SE3,294,59,1597,1400,108
SE4,127,21,1552,1450,116
SE5,204,39,1857,1599,148
SE6,231,46,1128,1100,122
SE7,95,13,1405,1350,198
SE8,245,50,1531,1452,168
SE9,130,33,1229,1200,100
SE10,404,64,1828,1647,149
SE11,131,31,1882,1755,138
SE12,112,30,1193,1200,101
SE13,310,80,1333,1300,106
SE14,129,35,1411,1248,115
SG1,118,30,888,925,132
SG2,43,12,855,849,86
SG3,13,5,1333,949,103
SG4,58,21,1210,1050,61
SG5,61,15,1148,1096,54
SG6,38,6,1083,908,127
SG7,20,6,1088,910,90
SG8,44,12,1178,1038,88
SG9,12,3,1598,1235,73
SG10,7,4,1270,1295,111
SK1,26,10,601,598,131
SK2,47,9,627,594,117
SK3,49,16,683,650,92
SK4,75,20,744,650,101
SK5,42,13,631,638,138
SK6,43,13,930,775,96
SK7,69,18,1003,765,158
SK8,84,13,1069,899,104
SK9,223,48,1838,1295,126
SK10,99,17,1424,849,175
SL0,39,4,1576,1300,222
SL1,401,63,1082,1000,178
SL2,151,23,1435,1148,222
SL3,181,43,1266,1200,135
SL4,315,43,2124,1595,197
SL5,285,30,4327,2999,203
SM1,195,39,1176,1148,126
SM2,137,37,1382,1148,121
SM3,38,9,1146,1198,123
SM4,97,29,1272,1274,101
SN1,233,47,717,693,138
SN2,107,21,668,702,116
SN3,46,12,840,836,161
SN4,27,4,931,724,162
SN5,55,17,796,725,124
SN6,24,4,1328,863,64
SN7,28,3,1576,1025,166
SN8,52,12,1258,1148,140
SN9,10,1,1261,1250,38
SN10,19,5,811,724,171
SO14,398,57,1219,1019,239
SO15,399,63,935,750,234
SO16,190,30,1152,996,206
SO17,298,34,1189,1050,252
SO18,59,19,721,693,100
SO19,90,22,778,710,147
SO20,14,1,1595,1274,187
SO21,42,6,1720,1200,244
SO22,100,21,1498,1235,198
SO23,134,22,1537,1200,187
SO24,27,5,1475,1250,231
SO25,0,0,,,
SO30,47,13,916,815,134
SP1,50,13,913,785,95
SP2,66,21,910,750,77
SP3,15,4,1201,850,93
SP4,48,11,995,898,126
SP5,30,3,1516,885,182
SP6,18,5,1191,963,117
SR1,145,17,525,477,187
SR2,330,18,660,451,222
SR3,41,9,563,495,104
SR4,239,25,513,451,225
SR5,95,12,474,450,150
SS0,164,49,820,750,126
SS1,100,28,870,750,145
SS2,59,13,833,775,118
SS3,28,7,1004,873,165
SS4,22,10,892,895,80
SS5,6,2,1186,1225,24
SS6,37,12,1118,1050,77
SS7,53,10,950,925,98
SS8,16,3,918,866,186
SS9,93,24,1057,975,114
ST1,102,20,485,451,146
ST2,24,11,489,495,56
ST3,43,10,487,475,173
ST4,233,41,555,451,135
ST5,204,35,709,576,164
ST6,113,18,455,425,135
ST7,42,7,562,550,108
ST8,14,1,613,538,200
ST9,5,0,1706,693,61
ST10,27,5,530,524,200
ST11,9,1,689,451,137
SW1,,281,5858,3445,210
SW2,497,116,1703,1560,166
SW3,,165,4556,3250,237
SW4,490,138,2258,1842,141
SW5,716,90,2932,2232,183
SW6,,211,3195,2383,157
SW7,,132,6849,3900,247
SW8,852,133,2569,2167,128
SW9,394,73,1791,1625,177
SW10,996,90,4340,3943,189
SW11,,222,2594,2149,122
SY1,63,20,614,595,121
SY2,33,11,586,594,138
SY3,62,21,635,595,168
SY4,48,9,616,576,97
SY5,27,5,804,650,107
SY6,17,5,878,810,94
SY7,16,3,644,638,154
SY8,27,4,628,550,131
SY9,6,0,820,562,130
SY10,8,0,702,658,129
SY11,38,9,521,495,57
SY12,15,2,645,550,67
SY13,33,6,612,524,171
TA1,109,30,594,575,137
TA2,43,16,628,620,146
TA3,10,3,985,1096,116
TA4,39,9,908,776,172
TA5,13,3,968,895,103
TA6,60,15,595,597,81
TA7,10,0,1746,847,247
TA8,11,2,725,785,107
TA9,15,1,718,620,89
TA10,7,4,656,585,14
TA11,5,1,1183,693,60
TA12,11,2,769,675,159
TD1,30,4,671,487,194
TD2,0,0,,,
TD3,0,0,,,
TD4,1,0,520,520,333
TD5,14,3,649,495,122
TD6,9,0,486,450,241
TD7,19,5,518,475,100
TD8,6,2,467,340,177
TF1,129,32,579,576,121
TF2,78,16,582,576,136
TF3,73,19,543,524,92
TF4,43,8,604,559,148
TF5,3,1,563,563,292
TF6,3,0,1383,1400,155
TF7,56,15,541,550,100
TN1,79,19,1040,949,154
TN2,74,13,1281,1174,151
TN3,28,5,2286,1925,228
TN4,71,11,1353,1027,197
TN5,17,3,1859,1751,234
TN6,21,4,1105,923,190
TN7,10,1,3329,2598,159
TN8,29,6,1531,1350,102
TN9,60,8,1044,997,142
TN10,13,1,1454,1352,55
TN11,24,1,1753,1573,151
TN12,45,10,1472,1250,171
TN13,133,34,1725,1352,93
TN14,45,11,2198,1798,95
TN15,57,18,2164,1750,97
TN16,34,4,1493,1300,202
TN17,20,3,1256,973,142
TN18,10,0,1733,1396,156
TN19,3,0,949,849,114
TN20,7,0,1574,1820,159
TQ1,153,40,667,598,136
TQ2,128,23,588,576,164
TQ3,68,11,716,627,158
TQ4,63,11,581,550,186
TQ5,26,10,750,685,90
TQ6,29,2,862,750,151
TQ7,26,11,715,685,71
TR1,63,20,741,700,167
TR2,17,7,774,775,154
TR3,13,3,972,895,87
TR4,18,10,962,701,207
TR5,9,2,841,849,84
TR6,9,5,879,800,103
TR7,71,32,715,676,83
TR8,8,1,1038,963,95
TR9,6,1,717,722,101
TR10,32,8,1018,824,146
TR11,52,17,1035,936,149
TR12,11,4,863,823,204
TR13,27,6,747,750,130
TR14,30,7,632,676,84
TS1,253,18,496,386,204
TS2,11,2,494,550,80
TS3,60,6,437,440,204
TS4,50,7,517,477,196
TS5,107,11,535,500,153
TS6,44,4,463,463,120
TS7,34,5,591,550,110
TS8,29,6,590,550,107
TS9,34,4,631,625,126
TS10,81,9,470,450,115
TS11,15,1,555,550,226
TS12,46,10,431,398,213
TS13,32,2,399,395,206
TS14,48,7,562,524,109
TS15,42,6,687,625,185
TW1,299,47,2088,1550,145
TW2,115,21,1766,1495,113
TW3,343,97,1273,1226,105
TW4,117,24,1170,1200,170
TW5,142,26,1182,1200,160
TW6,0,0,,,
TW7,310,64,1383,1274,99
TW8,306,47,1901,1651,156
TW9,295,38,2622,2100,163
TW10,228,29,2905,2200,193
UB1,117,19,1392,1352,119
UB2,129,33,1406,1352,101
UB3,316,82,1190,1200,147
UB4,147,21,1248,1248,108
UB5,126,28,1322,1300,101
UB6,191,34,1307,1300,144
W1,,337,5431,3445,229
W2,,370,3444,2817,181
W3,998,110,1793,1597,212
